LakeID	median.gs	median.sh	median.f
1_36_2	98	91.5751851292	91.1744505495
1_36_3	98.8333333333	97.7877358491	91.4147788041
1_36_4	105.4027777778	95.8359583952	91.3739118225
1_38_1	93.2314436002	91.563562753	89.8526174664
1_38_2	87.829512894	79.9384697699	80.0763222285
1_37_1	90.2267581888	82.0140566325	81.1282051282
1_37_3	87.9470304976	86.5227362594	85.9696608373
1_37_4	79.9678225555	78.1767261625	78.1208322888
1_37_2	82.4496830428	82.1326605236	82.5748806683
1_37_5	94.5153793575	86.2685348279	85.731979927
1_5_1	98.8909090909	97.7916666667	87.5998868294
1_13_3	89.0303617571	82.3780694705	77.7763011497
0_30_1	NA	NA	NA
0_30_2	NA	NA	NA
0_31_1	80.9283667622	77.4805789974	77.1238870126
0_31_2	0	73.3564154786	74.0965
0_32_1	85.4590406379	82.8961038961	82.1530808642
0_32_2	82.9828753485	80.2820649993	79.6996932167
0_32_3	78.4255107832	79.2409240924	79.8505494505
0_33_1	80.5311977358	80.4439221925	79.300667294
0_15_1	87.2902746845	83.5577299413	83.7456810376
0_35_1	82.3452186239	79.5537029857	79.2716924932
0_35_2	89.5684478372	85.3379501385	83.1667974882
0_4_1	75.5250097542	74.2426137589	74.7971851317
0_4_2	76.0674321503	76.3636363636	74.6153846154
0_4_3	77.4432555492	81.7272727273	75
0_4_4	76.487825675	75.2727272727	76.6923076923
0_36_1	78.8348329049	77.3230959073	76.6473887814
0_36_2	82.4163822526	81.5072317184	79.8715747772
0_36_3	81.5122135959	77.9834388699	77.5148367953
0_2_1	85.4052015605	83.718404291	82.5051099864
0_2_2	79.8423170425	78.7794043412	79.8395991333
0_18_1	79.7655137335	76.2680263947	74.3748470012
0_18_2	85	85.0438202247	80.8767014519
0_18_3	81.0561139028	80.7193590817	78.2138645418
0_18_6	87.8583690987	81.6473544604	77.1803498126
0_18_5	81.8702702703	82.7617647059	79.5647658111
0_28_1	75.8232044199	78.4018621974	82.7210211592
0_28_3	92.434298441	86.4040229885	83.3332864378
0_28_2	79.9720670391	84.6728444803	82.0264525272
0_28_4	91.2245149369	85.4061903752	85.2778795545
0_28_5	70.935395189	73.4167061051	75.7333333333
0_9_1	78.1622204786	77.4737953542	78.1700590939
0_9_2	75.530874868	76.4678593717	76.8949919225
0_97_1	81.0123872226	78.7317350516	78.8020979021
0_97_2	87.7038251366	88.0208514335	81.0324731074
0_97_3	83.75	86.6666666667	86.6666666667
1_48_1	91.5091510474	89.3980707395	87.5277688946
1_48_2	88.1680052884	85.0211786372	87.2874335095
1_46_1	98.1660839161	93.9797906368	90.9458593411
1_46_2	89.9410735123	88.7092005676	91.6554474398
1_46_3	95.0792682927	92.4285714286	89.4658801758
1_50_1	91.836058129	87.0284605433	86.9631591621
1_50_3	91.587020649	87.6462283179	86.8787677489
1_50_2	103.4414483821	94.0530442239	90.9095870907
1_50_4	96.1020408163	94.0642781876	90.1256866229
1_58_1	104.6666666667	95.1818338802	90.2196302817
1_58_2	102.4457557876	95.204248366	88.2275819419
1_58_3	105.30078125	93.4738662567	89.0988065501
1_63_1	89.375	89.961637772	88.9171003348
1_63_2	96.0377113134	92.1007806955	91.7562947368
1_63_3	85.6264167393	85.2683544304	91.4556359308
1_63_4	87.6495268139	85.510361893	87.3498617975
1_42_1	80.8337247914	74.5590873376	73.5466633682
1_42_2	74.6	74.8064516129	74.8064516129
1_53_1	76.0751070178	75.7931902461	74.1153846154
1_53_2	76.4966618091	75.2206670835	73.8392857143
1_53_4	70.1981735939	73.1052458612	74.7619047619
1_57_1	74.0225634252	73.4103435367	73.5609756098
1_57_2	70.588492808	71.0378676471	71.7
1_69_1	91.9111111111	89.296313912	89.7255298383
1_69_2	94.6666666667	89.4046137502	86.6399847894
1_90_1	86.9545454545	84.358837287	80.7713573062
1_90_2	86.8571428571	83.7891566265	81.1611388318
1_90_3	83.1107651246	82.1111111111	79.6136293555
1_90_4	85.0740740741	83.512605042	81.2236467236
1_90_5	92.9210526316	89.9484304933	85.3193473193
1_98_1	84.1071428571	78.784297126	77.48
1_98_2	78.921703854	73.7670221493	74.0909090909
1_98_3	88.162601626	82.6916333011	82.2432605905
1_98_4	79.3595706619	77.5166709086	77.8765432099
1_99_1	0	73.5568862275	73.7336683417
1_63_5	97.5221437381	92.8795362799	90.8476708203
